slug,name,founder_names,city,country,industry,website,founded_year,research_confidence,source_url,research_notes,status,verification_status
startupbridge,StartupBridge,Ebin Ephrem Elavathingal,Brussels / Belgium,Belgium,Startup Advisory / Internationalisation,,,high,https://www.linkedin.com/posts/kerala-startup-mission_ksum-kerala-startups-activity-7065301638407729152-CnjG,KSUM identifies Ebin Ephrem Elavathingal as a proud Keralite and founder of StartupBridge; StartupBridge facilitated Kerala-Belgium startup ecosystem cooperation.,pending,needs_manual_verification
carve-startup-labs-belgium,Carve Startup Labs,Vishnu Nagaraj; Alisha Davis,Belgium ecosystem / Brussels,Belgium,Startup Advisory / Innovation,https://carvestartuplabs.com,,medium,https://carvestartuplabs.com/,Kerala-founded startup advisory organisation with Belgium ecosystem activity; verify Belgian legal presence before public listing.,pending,needs_manual_verification
banana-leaf-antwerp,Banana Leaf,Owner/founder to verify,Antwerp,Belgium,Restaurant / Kerala & South Indian Food,,,low,https://www.thefork.be/restaurant/banana-leaf-r563119,Restaurant publicly associated with Kerala cuisine; owner/founder Kerala connection not established.,pending,needs_manual_verification
spoonful-of-india,Spoonful of India,Owner/founder to verify,Brussels,Belgium,Restaurant / Indian & Kerala Food,https://www.spoonfulofindia.com,,low,https://www.spoonfulofindia.com/,Brussels operation promotes regional Indian cuisine including Kerala; founder/owner Kerala connection requires verification.,pending,needs_manual_verification
kerala-srl,KERALA SRL,César Chuffart; Madri Invest,Brussels,Belgium,Retail / Souvenirs / Religious Articles,,2006,high,https://www.companyweb.be/en/0878997271/kerala,Belgian company exists but current directors are César Chuffart / Madri Invest. Name alone does not establish Kerala connection; retain only as excluded research lead.,pending,excluded-unverified
holy-cow-ghent,Holy Cow,Ellen; Luca,Ghent,Belgium,Chocolate / Food / Sustainable Agriculture,,,high,https://gentfairtrade.be/en/hotspots/holy-cow,"Belgian founders lived in Kerala and operate cocoa activity there, but founders are not Keralite. Retain as Kerala-connected but exclude from Kerala-founder main list.",pending,excluded-not-kerala-founded
ebin-cat-entertainments,CAT Entertainments,Ebin Ephrem Elavathingal,Belgium connection / Kerala,Belgium,Digital Media / Production,,,medium,https://www.linkedin.com/,Kerala co-founder identified; Belgian commercial entity/presence not sufficiently established.,pending,needs_manual_verification
indian-shop-brussels,Indian Shop,Owner/founder to verify,Brussels,Belgium,Grocery / Food Retail,,,low,https://www.searchindie.com/,Indian grocery candidate; Kerala ownership not established.,pending,needs_manual_verification
pak-food-ghent,Pak Food,Owner/founder to verify,Ghent,Belgium,Grocery / Food Retail,,,low,https://www.google.com/maps/,South Asian grocery candidate; Kerala ownership not established.,pending,needs_manual_verification
fine-bakery-brussels,Fine Bakery,Owner/founder to verify,Brussels,Belgium,Bakery / Sweets,,,low,https://www.google.com/maps/,Bakery candidate; Kerala ownership not established.,pending,needs_manual_verification
